text,happy,
"Nooo, I`m not in love.  I`m just developing a crush. A small one. Heehee.  My second one. Shadduppp.",0,
i cant sleep,0,
"I`m very upset right now, like I can`t even formulate a complete thought....",0,
Today more sore than surgery day. Glad I took extra sick day.  Full recovery expected after 6 weeks.  Calling lawn service firms today,0,
is hungryyyyyyy!! going to eat traditional indian food...the pakistani way. woowoo!  hahaha! >[_()\/3,1,
oh my gosh!!! hollyoaks was so sad tonite,0,
"   I sent my donation to #Eric and wanted to put the banner on, but my avatar disappeared when I tried ~",0,
Just found a tink cover for a wii remote but the people i know dont have a wii  fail,0,
 I`m thinking the 'Chevrolet Doom' would be fitting for GM,1,
Why can`t I make a phone call! I hate this anxiety ****. Someone cure me,0,
 You can`t.  My Grandma will probably be on the phone. So get on AIM!,0,
WiSHiNG ALL THE MOTHERS A HAPPY MOTHER`S DAY,1,
"Just got home from the bank, the teller was definitely hitting on me. Not interested.",0,
 I have to spend lots of  our money on a new boiler...great!!! Not so lucky hey,0,
Starting my 2nd shift! Im going to miss like an hour of the lakers game!,0,
 copy & paste **** **** tosser piss flap a 10000000000 times !!!!,0,
Fuuuuuuuudgeee I burned my finger with oil! It hurts,0,
Friday is not treating me well so far.,0,
 Well it`s nice to `see` you. Have a great day and tweet again soon,1,
"remember, dont let your small list cover your big list...its too little to even worry about it.",0,
 i mean we mite do sumthn.... what u doin hope i get 2 c u b4 u head bak,0,
 Hi Rob!,0,
_J We`re in the same boat.,0,
so tired from school and work. shower than neighboures.,0,
  hope yer ok hunny,1,
 Yeah it was great to be outside without rain/snow & cold air! Love the sunny days,1,
I wanted to see the story on ACORN tonight on Glen Beck but I missed it,0,
going to EK nao... will meet bloggers there instead of Makati  http://plurk.com/p/stnt0,0,
I`m pretty sure Isis has a tapeworm.  So she`s allowed to snuggle with me all she wants tonight.,0,
"Much to my surprise, I was using my credit card before the crack dawn to do some serious online gambling. One problem: it wasn`t me.",0,
 smH daTs whacK,0,
" yeah but there are like 5,000 types of snakes..and it`s wicked wicked wicked hot...and idk. i don`t think i`d like it",0,
"_raven oh, I`m skeptical too. I just think it`s the best thing he could have said under the circumstances",1,
I think I may have ruined a friendship this week by getting carried away,0,
" how old is jonathan jr? I`ve got four cockatiels, they`re two years now",0,
 thank you.,1,
: aww im sorry honey.  that stinks,0,
Right all strapped in and ready to go   http://twitpic.com/4jloj,0,
 but I don`t want to hurt you,1,
Toris was SO fun! JB MOVIE WAS ABSOLUTELY AMAZING! and i had a good day at work!  YAY i loved the movie! :0,1,
"You make me happy, whether you know it or not  <3",1,
 that sucks!!,0,
Let`s continue being productive today,1,
meeting up with strangers. lol. alone in vegas. amazing.,1,
 suh-weet! perfect timing.,1,
_Guy Iï¿½m afraid yes - both are true  I hope u r not disappointed yet,0,
 Its tomorrow!!!!,0,
"So much for having a fun day off at the Brewer game... at home, sick",0,
Hence the smiley face.  ha ha ha ha. Lol yeah i`m hong to be tired as **** tomorrow. But guess what i do not care.,0,
im still melting and im in the house in the shade  its not fair.,0,
" Ooh, there you are, haha. Thanks, posted it!",1,
 right..  making compromises is what kills us!,0,
"In worst case cenario, I`ll show up on OFFF with a white mask, and scare everyone. Even better: everyone should wear a mask besides me.",0,
"is back from the park and is very sunburnt  cant wait 4  2night,and is gonna get smashed..bein sober jst wnt b as fun!",0,
  I love you and Day 26 but that video was questionable... can`t say that I liked it,1,
I feel lazy watching other people work on my roof!  Kat Woman OUT,0,
 http://twitpic.com/4jdtj - have a safe journey back home hope you come back soon,1,
 RE: Hulu Desktop in Windows 7 Media Center  http://bit.ly/DEc64but not on extenders unfortunately,0,
" Smooches to you as well, have a great day!",1,
  twilightguy.com kalebnation.com youtube.com/kalebnation PUT HIM ON THE SHOW! Sry for spamming but we love him,0,
 aww,0,
"ouuuuuuuuuchhhhhhhh, still hurting from the Barca spanking",0,
"iPhone today! I want to see The Morning Of in Virginia Beach, but I don`t think I can get there",0,
 awwww..... thought it`d be a 'yummy' experience.  Will try it next time. Kapag magkakasama ulet tayo nila Mapet ;-),1,
 I need to do some more post but I don`t have time on this tour  ........... Apologies to all my supporters.,0,
" Um yeah ... role model for your peers you may not be.   But, I know you will be for your little one, so chin up.",0,
 whooop! you got me on twitter!!  dang our line of communication keeps growing!,1,
totally forgot she had soccer today. ugh  today was actually good too...,0,
 It wasn`t loading.,0,
 oops too late,0,
did you kno that  is amazing  and i`ve known him since he got twitter and his most tweeted words are `know` `haha` `****`..,1,
Dang i didnt even remember it was my bday today,0,
" I find mondays are the busiest days. I come into work, and there are 100 things to do cause the boss works weekends.",0,
 am i too late for a cuppa?,0,
 So ur moomie liked the Pandora? you can buy me one next lol,1,
" I have heard that about a lot of programs like that, we go to a large chain of learning centers, sorry for you!",0,
 i know,0,
" lol, sounds fun",1,
why yes jeeves. bring me that noose there  TOO MANY ASSIGNMENTS!,0,
Gooood party last night (: Although I am extremely tired now. xD Off to bed to lounge around watch tv and sleep all day,1,
 Good morning  It`s raining here.,1,
 with your bicycle?,0,
 I won`t b hereeeeee. Imma b in georgia  and then I`m off to LA. Grrrrrr!,0,
"http://bit.ly/5e7dr  this is cool, van helden.",1,
loves florida but misses her american friends,0,
"14 pages left to read, then it will be time to start all over again, and again.  Off to Lunch Duty...love 6th graders",1,
Is on her way home  aloha and good night everyone!,1,
 they shall win,0,
 _face  and nana.wish i was there last night,1,
 A little `Chair Lift` tonight would be muchly appreciated,1,
 Because you`re not exactly in those parts of Northern Emirates  It was 5.3 Richter I think.,0,
wants to greet all the mom`s out there a Happy Mothers Day!!! May you enjoy your day!!,1,
 So vacation is good so far?,0,
 yeah the tomato paste and oil is traditional on a sandwich.. eat it with some olives and maltese cheese  yum!,1,
i lost a follower,0,
IM FEELIN RITE.. THE MOOD FLOR TWITTER AFTER DARK...,0,
but this little boy still makin me  work during the storm!!!,0,
washed eye out but got water up my sleeve,0,
HAPPY B-DAY SHARON,1,
dis **** usb charger is good for nothin. gotta find that verizon store. my fone been dead since last nite,0,
 *kiss kiss* stu deezy off to bed to have sweet dreams of you ma`am  hehe xxoxo,1,
 An elephant? LOL Try painting it from the back,0,
 yeah i know  been dealin with it for over 2 yrs now,0,
Things aren`t just as easy and simple as they seem to be.,0,
Going to learn the hoedown throwdown today.,0,
is on twitter for the second day running. This is what study leave does to me! If only my car were in one piece,0,
"good time Rocking out @ open mic, thanks 4 all the love n support. Now working on Business plan presentation. No CG again 2nite",1,
watching 'slice of life' (laughing at the songgg) and then going to sleep,0,
"_J_Stuart Unfortunately not yet, I am still without licence.",0,
Kyles going out of town this weekend  play time wif my fwiends. Rawrrr.,1,
gah! didn`t realize my meeting was from 9-12,0,
needs a job,0,
is satisfied with her FP`09 review,1,
 cuz ima always late haha dammit she got me good,0,
 - I know! It was drizzling all the way to work!  Hope it warms up this weekend....,1,
Ow... My shoulder muscle (I can`t remember the name :p) hurts... What did I do?  I don`t even know,0,
 I wish I could afford to attend those benefits.,0,
Inshalla! Devo I wont be at the Astor tonight,0,
" nope not going be able to finish it tonight, got a few other things to do before bed",0,
 nope.. sliverlight is client a side tech,0,
 ooh ouch!   lovely weather but ****! cover up sugar! x,1,
Anybody else think that #win7 is pretty much Vista SP2?,0,
Oooh the hangover,0,
 being updated to have multiple `skins` for different GT members. Nightmare. 82k of CSS to hack!  No time to redo; woe is me.,0,
"okay, need to hit the sack.  i gotta wake up in like 5 hours   goodnight everyone!",1,
 just trying to make you feel at home?,1,
Is warm soy milk and amazake with cocoa powder and agave,0,
"follow me aswel !!!!!!!! if u have twitter, follow me lool !! www.twitter.com/djarka  koool",0,
Just got back from Apple Store in Robina. Managed to get a replacement iPhone because it couldn`t access the web properly. So shiny,0,
 aww poor Caity  :L add people n they will add you,0,
My attempts at writing tonight seem to be failing.,0,
Very bad things.......I need to stop thinking!,0,
 ummm not with me?,0,
Phone will die soon. What to do now? Oh no!,0,
im very much excited to go back to school,1,
HAPPY MOTHER`S DAY TO MY BEAUTIFUL MOMMIES,1,
listening to faith spirituality and the internet,0,
" ?? Sorry you posted the vid again, but it won`t load for me...",0,
about to run the hinckley half marathon!  Fingers crossed for a <1h30m time,0,
  no water park today? made me jealous looking at that pic,0,
dad`s posting got postponed ONE HOUR before he was meant to leave. either going to afganistan or NOWHERE. i`m sorta happy  but he`s gutted,0,
"In pain,, poor me, I HATE THE SUN",0,
" Yep, tomorrow night, 10:30! Just saw the ad *squeals* LOVED this season",1,
F.Y.I. a lot of you people that are following me i have unfollowed a lot of you  yer kinda boring me or not really helpful to my e-growth!,0,
Don`t really feel like I got a tan  I gave up and am working out instead. Skin cancer is overrated. <3 CJ,0,
Enjoying time with the g/f,1,
 I can`t  has blocked me.  I can`t even request,0,
planning how to move back home...the regression process is in motion,0,
Getting very frustrated by people who don`t know what they want... can`t wait to go home tonight...,0,
Scotts the only guy for me   Good night<3,1,
 that David -- nice to know he feels so comfortable 'twitting' or 'tweeting' us.   I have a feeling he misses home.,0,
"**** - Apple store is down for updates... what`s coming, I wonder?",0,
"****, can`t sleep.  feening for cigs. i`m horrible. :X",0,
 - that is awesome.,1,
 yesh and that potato guy is online... but hes not live,0,
wow...i have to many bookmarks...i just spent a good hour organizing,1,
"Fab wedding yesterday, feet still sore from dancing so must be a good sign. V glad to wake up in my own bed this morning",1,
"I just want somebody to love, and who loves me. I think and day-dream about about that CONSTANTLY.",1,
" i know, right? i`m super-excited - i told y`all this is the busiest time of year for me",1,
 is there something wrong with the internet in chelmsford? my tv on demad isnt working right and my internet is SUPER slow,0,
goin to bed w/smokey!!!!!,0,
Tried to do an Audioboo recording but it` distorted due to the high volume  #OBS,0,
"Need to come up with another blog post today. But for now, I AM SLEEEEEPPYYYYYY!!!!!!!!",0,
" good job I have the track in my head, cos sadly can`t access it, boo",0,
  you better come back soon! <3,1,
Want: To play Sacred 2... Reality: Spend all day at the hosp...,0,
Traffic jams are rubbish. Anyone know what`s going on on the A48 between Cowbridge and Cardiff? We`re stuck both directions,0,
she`s gone   I miss my kay way already,0,
sitting in bed where I will be for the weekend.,0,
YAY! GO TAYLOR SWIFT!! come to australia again!!!,1,
Missing nathan and the bccg already. And my best friends that tried to visit me   Heading back tomorrow afternoon.,0,
Download movie  'Still Waiting...' http://tinyurl.com/d9g8sj cool #movie,1,
I have a better idea: need a couple hour of relax. bed time. Sweet dreams to everyone!  love u all,1,
Still bored but not long now till the next tour date,0,
looking forward to coffee and driving tomorrow. really,1,
on jacksonville beach walking in the cold **** water   but have to work in the morning   ily <(`-`)>,0,
going to work,0,
finished the noodles. done the dishwasher. really really warm. i don`t like it,0,
9. shopping 10. Latte with my sis 11. Friday- Meets at the FAU 12. Fire- Steet- Party  13. slowmotion in the park 13. partying my bday,0,
Hey  wow cheers for the insight ppl  looks FUN oh im just stunned..it`s AWEOMSE!!!   (robluketic live > http://ustre.am/2w5v),1,
 Good morning,1,
Been so busy for the entire week. Be able to take a breath next Tuesday,0,
possessed beyond certainty that she has made the rite decision,1,
 yea he said brooke`s gonna come over to record today!  !,0,
 Home Friday makes me  too!!!,0,
" Yeah, I think you`re hyper enough girly.",0,
" :3, Youtube loves my HD videos  well maybe.",1,
"omds! holly steel, bless her!  x",1,
Somebody please save the polar bears!,1,
"christian lacroix, and one of our on-off clients, gone bust.  http://tinyurl.com/kv653j",0,
I don`t feel any pressure right now...    Happy Mother`s Day people...,1,
_c re:headaches my wife is in the same situation and has finally decided to go with meds because its just too much,0,
Lazy day in is awesome but I really should go out,1,
  How about we play tomorrow?,0,
" yes unfuzzy, i prefer the fuzzy me and clear caleb..  wanna turn back the clock!",0,
New day in new home   happy mom day 2 me!,1,
my momma is comin 2night !  2morrow tennis day with p?nar yuppie !,1,
Ohhh  only a bit of time left to have an account on the forums.. I do hope I get to be a leader some day :/,1,
just got back from my exam... im surely gonna fail...now trying 2 get tickets 4 il divo! someone doesnt want us 2b there!!!,0,
.: no health insurance is not an option.,0,
 The devil you say!  I`ve been waiting for the Black Widow in movies and now she won`t be awesome at all.,0,
" yay! now ill shall take your picture, and get a tattoo on my arm",0,
Man waking up sucks when u have to go to work like 30 min later,0,
had a great time talkin with Mike tonight for three hrs.,1,
 you suck,0,
 so see you on my birthday visit me  haha why wack Saturday ?,1,
 In two months i will have something of the kinf of prom  and i`m really excited! and you haven`t any contact to her?,1,
The case for my iPod Touch is literally falling apart.  So junk,0,
I Got it!,0,
" yess, they came to amsterdam on the 18th of april  best night everr! have you?",1,
  i love you mooorrreeee,1,
 Filipino Prof...is her name GORAYEB? by any chance?,0,
I dont care who gets mad. I like speaking my mind. Im alreadt crazy so it helps me not go off da deep edge! **** u!,0,
" thank you  btw, if u`re wondering, you can check out the 'Fuel' brand here (  )",1,
thursday night was amazing taylor swift gave me one of her braclets,1,
Bank holiday rock seems so fitting  ? http://blip.fm/~5jg16,0,
throat infection coming on strong I think  I can taste blood :S,0,
thanks ,1,
" Greatings from planet shannan, we have laded once again on your lanet & hopefull we come in peace =/ Hmm...Haiaa",1,
Just finnished my Double Cheeseburger. It was good  Ready to watch the Spanish F1,1,
I cant to sleep and tomorrow i must wake up too early,0,
" I wasn`t given an exact date, but it shouldn`t be much longer. Please accept our apologies for the inconvenience!",0,
 physics  the most boring class ever!,0,
gaahhhh! i want my #comet09 stream back...,0,
 Family...friend... It`s good for the industry i plan on going into...Far FAR away from Ohio  I hate it here.,0,
yey finally home,0,
 maybe cause you look so innocent,0,
i`m a little sad that school ended today i`m moving so i`m going to miss all my new friends from this year.    just got a hair cut,0,
 I will - but you will never know it`s me,0,
"oops just unfollowed everyone!  anywayz, will build my Twitter Empire.... again....",0,
 Oh I see who u mean now-tht heltershelter person lol. yer looks scary,0,
I knew I should`ve worn the SARS mask on the plane from SoCal.. feeling the beginnings of a sore throat,0,
  Maybe next time. Can`t be away this weekend as much as I`d like to jump in the car and go. ::pout::,0,
 i dont really know..i saw it on the gadget show about something thatmakes messages easier to find or something thank you,0,
LAKERS TOMORROW  KB and DF ftw!,0,
aw. nick got his heart broken.  poor baby. i love you!,0,
" yep, so I **** it.",0,
hollie steel on bgt was absolutely excruciating to watch...poor girl.,0,
 i`ll wear mine too!,0,
 quite all right. **** sounds better than clock coming from a female anyway,1,
" oops, me and my drunken stupor lol. Ima check it out",0,
soo sick. i hate my life,0,
I hate waiting in lines,0,
 I wanna watch that movie again. Maybe that dvd will work in my laptop since Dawson`s Creek doesn`t,0,
" oh my god, i finally found someone online! haha",1,
"Had a good time at Flap-a-taco with , , and ",1,
 ahh retweet everything i say!,0,
 yeah the weather ruined my plans too  i was gonna beach it up as well,0,
Why am I limited to only being able to sync with 1 MS Exchange account on iPhone?  ... same goes for Outlook. Why... http://bit.ly/etB8H,0,
 Cheers!  I`d like to thank zBrush for making it all possible,1,
Its an undeniable truth.  I suck at talking to people.  No good at making a connection.  i come off as either strange or distant,0,
 SAN DIEGO! MOVE DOWN HERE! although whether right now is pretty cold. im waiting for the suck so i can go surf  I LOVE YOU,0,
" I gotta say, I feel bad for everyone in NKorea.  They`re starving, and they have a crazy in charge who endangers them daily.",0,
_tastic Great  cant you twitter from there?,1,
Kinda feeling in a reggae mood.... hope you all enjoy the smoothness on this lovely weekend,1,
It was my baby bros last time singing in front of his school  im so so proud of him !!! but when did i get old  im only 22!,1,
 Okay will work on that too but please remind me again,1,
"Feeling so rough today, just want a cuddle and some sleep",0,
 I listen it right now - so much fun!!!  No I just have to get it somehow,1,
" awww, a very happy birthday to him",1,
" you work really hard so, sometimes you need a break, haha.  so, yeah...just let me know if you need help in anythin`.",1,
: You MUST watch Grey`s. It was their 100th episode. Let me know once you do. I don`t want to give out any more details,0,
"Oh great, Radio Disney doesn`t crash with the latest webkit, so my kid can run it again. HEY WAIT.",1,
 congratulations! woootwoooo!   great game!  nakaka-hyper kayo!,1,
 Sorry for your loss.  I know how you feel.  She or he was a lucky cat.,1,
 would that just eat away at your masculinity? What masculinity did you have? :p haha u`d probs beat me tho  haha xo,1,
 i`m in AD for another week- visa work,0,
 Scii-fi effects definitely look silly no doubt but its worth a watch inspite of that!!,0,
"Yogurting. Home from lady Mona`s, on the fone w no song from Yoplait. Lookin forward to hrs w  tmorrow & rehearsals  Gnight all!",1,
Still soo tired..not ready to get up for the day...work again,0,
" me too, it sucks",0,
"actually, i like almost everything about my job right now. except the part where it`s not permanent",0,
"Going out to Miranda shopping centre to spend time with the family, before going away for 2 weeks to Malaysia. Gonna miss them!",0,
 et`s genitals are in his magic glowing finger,0,
Wanna go out,0,
"Apparently TV could not be fixed  On the plus side, we are being refunded the cost of it and can buy a new one.",0,
is taking the dog to the vet then a play date with Annabelle,0,
 I love Broughty Ferry,1,
The seat was a nice place to go,1,
Listening to the new Green Day album  Fingers crossed!,0,
 @_Mintyfresh Thanks very much!!,1,
My mother is taking Gambit to the vet today. I hope it`s nothing too serious.,1,
needs to escape from this town. getting ready. seeyuhhh.,0,
" Mmmm, I had honey mustard chicken w/ rice & veges",0,
missing mrs mcfox,0,
_miacherry morning kik enjoy your breakfast,1,
The sun is wonderful but makes me feel incredibly fat.. The less clothes and more exposure thing  today I diet. Again......,0,
at last i wr0te again....got bored the previous dayss....,0,
 She! Maybe that was our first mistake.  Not everyone is as cool as   (brown nose moment),0,
Internet is getting **** slow today..,0,
Went out to get groceries...prices are inflating  Gas went up another 10 cents to hit $2.49... #TCOT,0,
watching spongebob,0,
 Absolutely! Lookin` forward to it,0,
 oh gaha no of course i wasn`t offended why would i be?  i`d love to play for you some day,1,
Fighting a migraine   Medication is almost working.,1,
to cold for the beach  sucky.,0,
Picture Day for 3 YO preschooler. Light blue striped utton down and kahkis.  Wonder what color they will be when I pick him up in 3 hours,0,
 i ask myself that all the time.,0,
 Welcome to Twitter... It`s about time!,0,
"Swords make everyone sexy.  Oh, Harold.",1,
 My club card and picture and I just cured world hunger! And made of gold! This thing is awesome! Too bad you don`t have yours.,0,
This Twittername is hosted by TwitterFridge. Email us if you want us to open the Fridge  Check: www.twitterfridge.com,0,
Excited for Rove tonight! Jennifer Garner and Gina Riley!,1,
 I def will. If anyone leaves the room for a second he has to follow. He`s a really great dog otherwise so far.,1,
is getting her hair did shortly! and hoping everything is going well for her friend currently getting surgery!,1,
"I really, really want a golden retriever. Too bad I won`t be living in a home where she could run around for about 10 years",0,
 feel better!   c`s been teething all week & its been rough...,0,
Working technology! I love you WAZ!,1,
I`m so down again.  I wish I could share my problems with someone...,0,
likes patricia`s dress,1,
urban think fail. chai latte is not good there,0,
Its rained ever day in Miami since I`ve been here.....,0,
"Trying to open a .docx file on my virtual system while I`m under the dryer. But it only has Office 2007,",0,
 Yes! That sounds like a great idea. Message me on LJ about it,1,
Chocolate milk and subway. MMM,0,
"Tweet **** ? I am up to 10,000 tweets",1,
 IM SOWWIE I WAS A LIL LATE  LOL it looked good though ;),0,
" You`ve got to have standards Alice otherwise were would we be ,,,,,? you got to enjoy life it`s what life is for",1,
 Your window ledge is decorated quite appropriately. I love it,1,
goodnight everyone.,1,
idk why im so hyper im jumping everyhere. ugh lets let it be friday sweeney todd then cinco de mayo il those parties,0,
morrrning. time for school. (: time to learn!,1,
Partied long and hard...goodnight Twitter see ya in the mornin,1,
bed. with stomach ache,0,
one more final,0,
" july 8th flight gets in, my mate here is on about goin hm early so am all",0,
" YAY! Thanks for the #followfriday. #FAILFriday is still winning, though.",0,
 my computer is being stupid and wont let me vote  . if i could i would vote for u.,0,
 i miss you!!  stupid work!,0,
"Gettin some fuel, too bad no one is reading this!",0,
" KH is the only thing I`ll be a weeaboo about.  I still prefer it in English but I`m impatient, haha",0,
I was waitin` so many new and good songs about the end but I didnt like it so much,0,
 that sounds awesome..,1,
 is it? :O im gonna get that,0,
Everything is annoying me today,0,
 http://tinyurl.com/64ozr7 :: from Ate Kaila Ocampo  of the.rainbowholic.me&&eerie-silence.net,0,
How did Day 26 go from a good budget video (imma put it on her) to such a low budget video (Stadium Music) The end may be near for them,0,
 I think you and Tamera should have your own show anyway...the CW or ABC fam is not appreciating you like they should.,0,
 yeah that too,0,
hasn`t had time to go on twitter since working full time!,0,
" No problem. Unfortunately, I think it was just something I had to sort out on my own.",0,
is still sick  sigh,0,
" wooo what a fight !!! goooo Vicky , i am with you",1,
"  you two are hilaaaaarious, I love it. Vernae where have you been  ?",1,
**** my life.,0,
Paid bills. We get water and electricity for another month  Woot.,0,
"10pm tonight, International Space Station will by over head, through most of Texas at least",0,
http://twitpic.com/672s3 - What I woke up to this morning...I didn`t want to leave bed.,0,
Done! Goin home to eat dindin and contemplate what the night holds for me,0,
feels accomplished!!!  She got a lot done today! http://plurk.com/p/stns9,1,
16 days until I start moving!,0,
Something strange in the air lately. Been setting everyone on edge. Going to do a good smudging of the house. Good to do those anyway,1,
 omgggg!! Hawaii!! That`s amazing!! I wanna live there,1,
I forgot I set my iTunes to display by play count last night. I didn`t understand why Taylor Swift was in front of Belinda. Haha.,0,
_Brody What is BF ? Is it a glue ?,0,
"alkaline trio was sweet, saves the day sucked.  but i had a great time anyways.  it was awesome seeing everybody and hangin out",1,
I`m on my way to see `17 Again`.  I`ve wanted to see it for a looong time,0,
i absolutly love kill bill vol. 1!!! I think lucy liu is sooo gorgeous!!!!,1,
"_by_spork haha I like it anyway, although i miss the spork in the pic... where did it go?",1,
ohay clean teeth,1,
well i`m gonna go now.  goodbye all.,0,
 where are you going paris?,0,
"i miss the jokes and making fun of ppl and throwing ideas for songs, movies, and shows at eachother the most.  that`ll never go away...",0,
 that`s SO YOU!,0,
" Also, HAPPY STAR WARS DAY!!!",1,
Good morning in Twitterville. Off to work I go...Chat @ all of u later,1,
I also have to make space on my computer for the game. I don`t meet the minimum requirements for Sims 3 at the moment,0,
 I`ll keep that in mind if I decide to add an LA leg  to my westt coast stint in June,0,
@ the San Antonio Missions game waitressing. Not a huge crowd.  Meaning a slow game.,0,
Well... I hate to leave.... but I must sleep! G`night y`all and hope to chat later!  Enjoy my li`l night owls!,1,
Found some great places but I might have to play it safer and wait 2 years till my car is paid off,0,
 we want ot protect Moleskineï¿½ notebooks worldwide. That is all.,0,
Got to go shopping with wife down to Tesco`s. I knew my day was going to well.,1,
Morning all. I appear to have a bit of a sore head. Perhaps the bag of pork scratchings for dinner wasn`t such a good idea,0,
_2008 don`t be sorry  you can race for charity or just for fun. I do this one for fun.,1,
" haha you didnt see my macbook or my 24`` imac in that pic, so feel extra jealous lolll",0,
" can`t wait for it. i love your scripts. honestly, you should have a future career as a script writer  - Stock Twits",1,
 hey!  sorry for the late reply.but i do plan on posting on both facebook and twitpic.,0,
made a little cover for my iphone.  the birds aren`t upside down on the back  http://twitpic.com/67tp9 & http://twitpic.com/67to5,0,
  #followfriday thank you!  I`m still not even close to what I had as ,1,
please check out www.mysweetebony.com and lmk what you think  ... my first paysite ... post up your site too!,0,
work was splendid,1,
Done a bump out and now back in bed seemingly unable to muster the energy to get up again  Sundays are great.,0,
At pool in Orlando got new kicks  going to seaworld tommrow miss my best friend,0,
"_x I`ve got my essay plan written out now  Looking for a couple of references, then I`ll get writing!",0,
Father is staying home and conference calling. Sorry ,0,
Why are the sinks in hospital toilets so low? Now the **** of my grey suit is spattered with water! Just in time for Physio,0,
SNL w/ Justin Timberlake,0,
: I like your crazy and witty humor!,1,
"just paid $221/mo for a dedicated server . Would rather get a slice , but I using MS SQL",0,
 Well best of luck,1,
 yeah it does...i had fun today...i regret not taking that cup now...it was awesome...i must find one just like it now,1,
going to eat rice and fried chicken from sederhana  the padang restaurant! yummy!,1,
" i dont even have a WII! b likes xbox, so that`s what we have  do you use it?",1,
ughhhh.... sad day.,0,
"Wishing it was a sunny day, then I might just be bothered to get outta bed! ..up the blues",0,
wishes he had realized his wife hadn`t held onto the debit card before he took a long walk to get lunch and not after.  GRRR!,0,
 How is she spoilt? She`s like 10? 11? That was hard for her to be put up in front of 14m people.  She`s really young.,0,
"_Ada_Franco I am working again!  Woo hoo!  Alas, I was unable to obtain an Elita-1 for your daughter.  It`s $80!",0,
 That`s great news,1,
school and the guy i like was talking to the girl i cant stand at all!!  ppl are just sooo...ughhhh!!,0,
I alreay feel the hang over. Soooo worth it,1,
Cleaning time soon,0,
 he`ll be 3 in july! I`m just soo stoked!!!!  Especially since he sleeps with us LOL  He refuses to wear diapers anymore,1,
low low low low low low low low low.............................,0,
_Monk Neither are ELP!!,0,
_henrie i would still rather be in your shoes instead in bed bc i work from 10-9 tommorow. i love cold weather.,1,
Have $#@&!!! Malware on my work PC!  I miss having an IT dept,0,
", Heeeey dear! Finally found!",0,
i have to study :O talk to you later  ****,0,
 i knew a horse called dollar too,0,
 she still got it going on!,0,
Can`t wait for  live! It`s ages away but still I should do a  and plan what I`m going to wear lol,1,
Starbucks with mother,0,
Im had to leave early to go to piccolo practice.,0,
" ah its getting there  still a fair bit to go, but it`s coming together fairly well! aw  where are you from?",1,
Did you know call of duty has a scenario game called 'Nazi zombies?' it`s awesome and scary at the same time,0,
Lol @ me and  whispering so we don`t get in trouble and being almost 30! Feels great to be home feeling like kids,1,
 http://twitpic.com/4jcf1 - Looks great!  Love the way they did the bottom.,1,
Writing my first tweet,0,
" Just wondering if you are going to put 'One Too Many' on itunes.  I hope you do, it is the only cd of yours I don`t have.",0,
" I know, thx  But I`ll be ok.",1,
Just discovered a painful sunburn on my right sholder  hopefully it just turns into a tan!,0,
 Hah! Thanks.,1,
deff workin this weekened,0,
ok thats it.... sleep time,0,
  Nice start to the holiday!,1,
Took me 2 times to get over the wall. What killed me was the 150 lb dummy that you can`t drag. 12  seconds over.,0,
 I accidentaly slammed my finger in the trunk,0,
About to Lock In on getting better  staying +,0,
" Oh, I totally want to see Star Trek!  But Kristine had already seen it with her hubby.",0,
" I think  has found it (http://bit.ly/3pj876 , but I can`t play it",0,
finally shifted from Twhirl to TweetDeck so I can filter through my close friends` updates  happy monday peeps,0,
 **** it! Must be Morrisons then,0,
That was ****.,0,
 NOOOOO I hate traffic,0,
 !! I miss you too.,0,
 I am so sorry I missed your tweet  I was on a nice long chat across the border with pastel. Did you want the recipe? email?,0,
cupcakes gave me heartburn,0,
Jumping im the shower after a long day of work  it shall feel ahmazing I CAN MATH!,1,
i got no followers i only have like 2  someone follow Me please?,0,
_09  ii No!  GRR   oooh Aiden Lol   x,0,
Woohoo! Procrastinating doing any work by going out to lunch! Have to wait for my sister now though  dang it,0,
 pandora is blocked at my work  bummed,0,
They never cease to amaze me.,1,
_lick sounds like you need a week of digital detox,0,
"'They say I look yummy & they want a taste, but I`m a human not a sandwich.' LMFAO makes me",1,
 been there!  need somewhere NEW,0,
 no panasonic charger.sorry,0,
 I`ll be back home on Monday.,0,
 thats much better than the flu syndrome!,1,
" no prob, you have a sexy site there",0,
Hate being skint  Anybody want to give me another job? haha!,0,
Johnny actually invited me to the movies but i have too many things to do before the concert,0,
http://twitpic.com/4wtom - This day is soo stressful! Geee.. Lunch was a blast tho! How are you guys??,0,
" What up Lisa, sorta quiet... I`m USA, so gonna crash soon.",0,
"2.5 years here & left Dell OKC for the last time. And being the geeky girl I am, I waited to cry until I got in my car.  Love you all!",1,
 My windows open and its not that cold ahahah,1,
"_JayR oh, i know how budgeting is.",0,
 I would if I wasn`t working today.,0,
My favourite photo (that I took) from last night: http://tinyurl.com/oto5sz can`t wait to see `s pics,1,
I`ve Got An Urge To Make Music Like Massively.. I`m Going To The Studio,0,
 just email em to the email i gave u thanx awesome person,1,
happy mother`s day! everyone have a great day and make sure you go see ya mommas,1,
Trance or Drum`n`Bass are awesome for working!!  *dances it out*,1,
" OMG!! Hahaha! I thought you were joking about Twittering that, hahaha!! Awesome, good times were had by all",1,
"I wish I could buy blink 182 presale tickets, but I totally don`t have the money right now. Guess I have to wait for general admission...",0,
Just got back from  `s party! Sooo much fun! Boom boom pow~ hahaha! ooh and I just told my mom happy mother`s day,1,
